feature,mean_abs_shap
length,1.0682938413170069
fraction_helix,0.48262244577882546
fraction_positive,0.41546256225865286
fraction_negative,0.26929773661717704
boman_index,0.20511517652136338
hydrophobicity_eisenberg,0.1761914277005406
fraction_sheet,0.1545730514874001
fraction_turn,0.14168842157166478
hydrophobic_moment,0.08561303986923302
aromaticity,0.07366133979367948
net_charge_pH7,0.06361519731584829
isoelectric_point,0.06055449343709903
aliphatic_index,0.06003704116586987
instability_index,0.053668068654289094
